entrezgene;avg(weighted);max
1553;0.179598672781828;0.21636335185202324
57089;0.151878964946109;0.15615377084121282
5557;0.294470965685256;1.0848735912804632
1549;0.0122301880323166;0.043272670370404644
4914;0.182745508797672;0.2814462960170607
112770;0.441810271299422;0.7146952717780501
9646;0.466686746332453;0.570746088260106
6847;0.165218300895629;0.7175377433262675
23381;0.398617251810989;0.8710258347582533
118670;0.0365980634434036;0.041490500919225286
1306;0.0711332240144691;0.07113322401446913
100170765;0.397387127684923;0.6021389867444829
54458;1.75144909603762;2.104283371215595
51224;0.136862230304648;0.17467435505841877
389136;0.219458829903584;0.21945882990358426
196792;0.0633531432313841;0.08298100183845057
4893;0.051324055849129;0.1941221076841164
387104;0.263128353627435;0.27373315431003487
652991;0.309908810273366;0.34934871011683755
100287898;0.194124337711781;0.33656407074956946
730130;0.0731158544858717;0.07311585448587178
58486;0.350015059749339;0.42805956619507946
115557;0.0277603327353462;0.11598534312057246
54600;0.364832945507179;0.491484216771122
54658;0.507555402762089;1.3751401298336587
632;0.297840185346328;0.41307326634514924
54576;0.292672090368054;0.3931873734168976
54575;0.307281558871084;0.46751005924154815
54577;0.373592465011472;0.5380044710595177
54657;0.433455200769366;0.5897810601253464
593;2.21637172197518;2.5462215747620354
387715;1.83425208563646;1.986027896699793
92312;0.120358014987981;0.14574040500855637
10330;0.16218708026743;0.4455874035854913
100527963;0.276021241938561;0.3643510125213909
114108587;0.233444685626324;0.2933551350336768
112398;0.038348226606564;0.040888229667711516
147719;0.0146799449420386;0.04227274466114157
54659;0.439353707365186;0.605239497100092
54579;0.428724624829803;0.5897810601253464
