entrezgene;avg(weighted);max(weighted)
3190;0.904284907027606;1.3818041208254535
64112;0.473339008063068;0.4779327364976447
11318;0.435182644167927;0.5604012107242354
9880;0.456823900214517;0.7005015134052943
6866;0.550045785267135;1.1164676679154317
4640;0.495805789331446;0.6304513620647649
23306;1.31414338020829;1.512251379194599
4665;0.556428934494965;0.7005015134052943
6778;3.35544680310237;4.011963213139413
79837;0.0498025171402241;0.07003376694728478
4141;0.181869435490557;0.2101504540215883
114785;0.123617287286212;0.14010030268105886
54578;0.231515933299574;0.39855111029088325
136647;0.189255189718485;0.23486473991554488
54921;0.240045013337317;0.3609950203468788
6645;0.288796016277503;0.28879601627750306
140625;0.329243122501261;0.5535443365100587
23414;0.110644042244197;0.11182912802163972
201931;0.696692956949914;0.762814381261333
84520;0.291285543423426;0.2941124532293198
121214;1.4444284199533;1.69394002332553
257019;0.132500560702625;0.28322693159776374
10690;0.0861591766685233;0.17596163949471857
79694;0.203115999081715;0.7200579484163273
5707;1.6063736873914;1.6769178809023608
130560;0.327003956821098;0.3338100607426282
3626;0.278978457879619;0.7443117786102877
1649;0.121246290327037;0.14010030268105886
10540;0.110425662303743;0.14006753389456955
79783;0.678656574885703;0.8034321664197541
797;0.659286443164724;1.0705445505326596
283377;0.223793669431059;0.26300023985993026
166655;0.234701665366066;0.28058936635568144
196403;0.0498025171402241;0.07003376694728478
80010;0.494562648218505;0.9174784513753317
22864;0.303520258826884;0.7443117786102877
6472;0.521043610242742;0.9303897232628596
11247;0.487356158267326;0.5604012107242354
5069;0.371907104112407;0.582952139322851
391712;0.219737965266958;0.28058936635568144
128239;0.483671087781839;0.49952825296809356
146198;1.18958461429846;1.1923774914487817
339766;0.309362537379127;0.752426103267407
57419;0.88551194031169;1.0524984189028936
246329;0.482434664158304;0.6202598155085731
56901;0.508458913741898;0.8683637417120023
120227;0.259458417475267;0.3289254472776063
114792;0.266327460702006;1.047497310805891
341947;0.21846415756757;0.2205843399219898
375033;0.0716662758512275;0.07197137270701326
164118;0.393706871898073;0.4995282529680935
10123;0.14780028085318;0.14780028085318025
387755;0.596049902575488;0.8545410379770259
391104;0.214998827553682;0.2159141181210398
64218;0.107499413776841;0.1079570590605199
4666;0.285430035017056;0.49620785240685844
729533;0.145849557252703;0.14584955725270313
64078;0.0511763646896337;0.32368792182601575
56882;0.576918819379768;0.5769188193797685
553;0.0729247786263515;0.07292477862635156
5557;0.140943977705405;0.2101504540215883
11060;0.323226017698565;0.3232260176985659
4914;0.143332551702455;0.14394274541402652
112770;0.214998827553682;0.2159141181210398
23381;0.214998827553682;0.2159141181210398
257407;1.20011553176767;1.22509416232143
10962;0.360574262112355;0.36057426211235527
100287898;0.149510332348554;0.23723328707573946
2713;0.294229596064376;0.3019234327052665
388588;0.0464284747828647;0.049520244997658974
115557;0.0457432911217351;0.06575005996498257
54600;0.19833700530691;0.2214172834949351
54658;0.296713114391235;0.6199683937858183
632;0.179165689628069;0.17992843176753318
54576;0.158669604245528;0.17713382679594808
54575;0.173671588543359;0.21189875444802356
54577;0.206586762956384;0.25427850533762825
54657;0.238004406368292;0.26570074019392215
100506013;0.144176356491181;0.20042097596834388
100505989;0.0457976434266224;0.08016839038733756
391714;0.272482469753954;0.32067356154935023
92312;0.0716662758512275;0.07197137270701326
10330;0.131101650085124;0.20017731861939103
100527963;0.143332551702455;0.14394274541402652
9641;0.546935839697636;0.5469358396976368
440712;0.0364623893131757;0.03646238931317578
23380;0.145849557252703;0.14584955725270313
83593;0.364623893131757;0.36462389313175786
54460;1.04785065868408;1.0478506586840872
57223;0.639591641800803;0.639591641800803
100996521;0.108172278633706;0.10817227863370658
54659;0.240708555376738;0.29428174065245577
54579;0.238004406368292;0.26570074019392215
